firm;lei
Faurecia SE;969500F0VMZLK2IULV85
Faurecia SE;969500F0VMZLK2IULV85
Renault SA;969500F7JLTX36OUI695
Renault SA;969500F7JLTX36OUI695
Vivendi SE;969500FU4DRAEVJW7U54
Ubisoft Entertainment SA;969500I7C8V1LBIMSM05
Danone SA;969500KMUQ2B6CBAF162
Sodexo SA;969500LCBOG12HXPYM84
Sodexo SA;969500LCBOG12HXPYM84
Bollore SE;969500LEKCHH6VV86P94
Veolia Environnement SA;969500LENY69X51OOT31
Veolia Environnement SA;969500LENY69X51OOT31
Orpea SA;969500LHIH3NT7PK1V89
Wendel SE;969500M98ZMIZYJD5O34
Wendel SE;969500M98ZMIZYJD5O34
Orange SA;969500MCOONR8990S771
Rubis SCA;969500MGFIKUGLTC9742
Air Liquide SA;969500MMPQVHK671GT54
Bouygues SA;969500MOCLNQFNZN0D63
Rexel SA;969500N6AVPA51648T62
Eiffage SA;969500OQXKE5WDM9M994
Covivio;969500P8M3W2XX376054
Klepierre SA;969500PB4U31KEFHZ621
Aeroports de Paris;969500PJMBSFHYC37989
CNP Assurances;969500QKVPV2H8UXM738
Accor SA;969500QZC2Q0TK11NV07
La Francaise des Jeux SAEM;969500R4CLSQFTYYI535
Credit Agricole SA;969500TJ5KRTCJQWXH05
SPIE SA;969500TJNS5GSFWJ8X85
Bureau Veritas SA;969500TPU5T3HA5D1F11
Safran SA;969500UIC89GT3UL7L24
Elis SA;969500UX71LCE8MAY492
Christian Dior SE.pdf;969500WESYQMQ1F2C272
_SEB SA;969500WP61NBK098AC47
Legrand SA;969500XXRPGD7HCAFA90
Hermes International;969500Y4IJGHJE2MTJ13
Hermes International;969500Y4IJGHJE2MTJ13
Alten SA;969500Y7G9TY7Y24GN07
SOITEC;969500ZR92SQCU9TST26
Raiffeisen Bank International AG;9ZHRYM6F437SQJ6OUG95
ABN AMRO Bank NV;BFXS5XCH7N0Y05NIXW11
ABN AMRO Bank NV;BFXS5XCH7N0Y05NIXW11
Repsol SA;BSYCX13Y0NOTV14V9N85
Eni SpA;BUCRF72VH5RBN7X3VL35
Centrica PLC;E26EDV109X6EEPBKVH76
Skandinaviska Enskilda Banken AB;F3JS33DEI6XQ4ZBPTN86
AXA SA;F5WCUMTUM4RKZ1MAIE39
KGHM Polska Miedz SA;G30CO71KTT9JDYJESN22
KGHM Polska Miedz SA;G30CO71KTT9JDYJESN22
Associated British Foods PLC;GBQKSY6W7G0OHCQ8OQ72
Koninklijke Philips NV;H1FJE8H61JGM1JSGM897
LVMH Moet Hennessy Louis Vuitton SE;IOG4E947OATN0KJYSD45
Banco Bilbao Vizcaya Argentaria SA;K8MS7FD7N5Z2WQ51AZ71
Banco Bilbao Vizcaya Argentaria SA;K8MS7FD7N5Z2WQ51AZ71
Nestle SA;KY37LUS27QQX7BB93L28
Beiersdorf AG;L47NHHI0Z9X22DV46U41
Engie SA;LAXUQCHT4FH58LRZDY46
HeidelbergCement AG;LZ2C6E0W5W7LQMX5ZI37
Swedbank AB;M312WZV08Y7LYUC71685
Danske Bank AS;MAES062Z21O4RZ2U7M96
Airbus SE;MINO79WLOO247M1IL051
HSBC Holdings PLC;MLU0ZO3ML4LN2LL2TL39
Cie de Saint-Gobain;NFONVGN05Z0FMN5PEC35
Svenska Handelsbanken AB;NHBDILHZTYCNBV5UYZ31
Svenska Handelsbanken AB;NHBDILHZTYCNBV5UYZ31
Adecco Group AG;NI14Y5UMU60O7JE9P611
Brenntag SE;NNROIXVWJ7CPSR27SV97
Societe Generale SA;O2RNE8IBXP4R0TD8PU41
Societe Generale SA;O2RNE8IBXP4R0TD8PU41
Societe Generale SA;O2RNE8IBXP4R0TD8PU41
Aegon NV;O4QK7KMMK83ITNTHUG69
Equinor ASA;OW6OFBNCKXC4US5C7523
Powszechna Kasa Oszczednosci Bank Polski;P4GTT6GF1W40CVIMFR43
Powszechna Kasa Oszczednosci Bank Polski;P4GTT6GF1W40CVIMFR43
Powszechna Kasa Oszczednosci Bank Polski;P4GTT6GF1W40CVIMFR43
Erste Group Bank AG;PQOH26KWDF7CG10L6792
Mediobanca Banca di Credito Finanziario;PSNL19R2RXX5U3QWHI44
AstraZeneca PLC;PY6ZZQWO2IZFZC3IOL08
E.ON SE;Q9MAIUP40P25UFBFG033
E.ON SE;Q9MAIUP40P25UFBFG033
Powszechny Zaklad Ubezpieczen SA;QLPCKOOKVX32FUELX240
BNP Paribas SA;R0MUWSFPU8MPRO8K5P83
2_British Land Co PLCThe;RV5B68J2GV3QGMRPW209
Banco de Sabadell SA;SI5RG2M0WQQLZCXKRM20
Naturgy Energy Group SA;TL2N6M87CW970S5SV098
Infineon Technologies AG;TSI2PJM6EPETEQ4X1U25
Standard Chartered PLC;U4LOSYZ7YG4W3S5F2G91
Standard Chartered PLC;U4LOSYZ7YG4W3S5F2G91
Bankinter SA;VWMYAEQSTOPNV0SUGU82
Siemens AG;W38RGI023J3WT1HWRP32
Orsted AS;W9NG6WMZIYEU8VEDOG48
Enel SpA;WOCMU6HCI0OJWNPRZS33
Fresenius SE & Co KGaA;XDFJ0CYCOO1FXRFTQS51
Fresenius SE & Co KGaA;XDFJ0CYCOO1FXRFTQS51
BMW AG;YEH5ZCD6E441RHVHD759
Aviva PLC;YF0Y5B0IB8SM0ZFG9G81
Meggitt PLC;YMFO3TKB4UAWQTDZJJ31
ITV PLC;ZLECI7ED2QMWFGYCXZ59
Amplifon SpA;ZYXJDNVM2JI3VBM8G556
